fusion_method,threshold,accuracy,f1,recall,specificity,auroc,auprc,ece,brier
static_weighted,0.795,0.18611111111111112,0.2544529262086514,0.9803921568627451,0.05501618122977346,0.4969223935528904,0.15127706814249317,0.7480314435101336,0.6834710432041438
meta_logreg_branch_probs,0.485,0.28055555555555556,0.25787965616045844,0.8823529411764706,0.18122977346278318,0.519131924614506,0.16236756087704818,0.3570380728378052,0.2490566121786977
